circle,0.6,True
256,-18.20000,5.60000
257,-16.80000,5.60000
258,-15.40000,5.60000
259,-14.00000,5.60000
260,-12.60000,5.60000
261,-11.20000,5.60000
262,-9.80000,5.60000
263,-8.40000,5.60000
264,-7.00000,5.60000
265,-5.60000,5.60000
266,-4.20000,5.60000
267,-2.80000,5.60000
268,-1.40000,5.60000
269,0.00000,5.60000
270,1.40000,5.60000
271,2.80000,5.60000
272,4.20000,5.60000
273,5.60000,5.60000
274,7.00000,5.60000
275,8.40000,5.60000
276,9.80000,5.60000
277,11.20000,5.60000
278,12.60000,5.60000
279,14.00000,5.60000
280,15.40000,5.60000
281,16.80000,5.60000
282,18.20000,5.60000
283,19.60000,5.60000
284,21.00000,5.60000
285,-21.00000,4.20000
286,-19.60000,4.20000
287,-18.20000,4.20000
288,-16.80000,4.20000
289,-15.40000,4.20000
290,-14.00000,4.20000
291,-12.60000,4.20000
292,-11.20000,4.20000
293,-9.80000,4.20000
294,-8.40000,4.20000
295,-7.00000,4.20000
296,-5.60000,4.20000
297,-4.20000,4.20000
298,-2.80000,4.20000
299,-1.40000,4.20000
300,0.00000,4.20000
301,1.40000,4.20000
302,2.80000,4.20000
303,4.20000,4.20000
304,5.60000,4.20000
305,7.00000,4.20000
306,8.40000,4.20000
307,9.80000,4.20000
308,11.20000,4.20000
309,12.60000,4.20000
310,14.00000,4.20000
311,15.40000,4.20000
312,16.80000,4.20000
313,18.20000,4.20000
314,19.60000,4.20000
315,21.00000,4.20000
316,-21.00000,2.80000
317,-19.60000,2.80000
318,-18.20000,2.80000
319,-16.80000,2.80000
320,-15.40000,2.80000
321,-14.00000,2.80000
322,-12.60000,2.80000
323,-11.20000,2.80000
324,-9.80000,2.80000
325,-8.40000,2.80000
326,-7.00000,2.80000
327,-5.60000,2.80000
328,-4.20000,2.80000
329,-2.80000,2.80000
330,-1.40000,2.80000
331,0.00000,2.80000
332,1.40000,2.80000
333,2.80000,2.80000
334,4.20000,2.80000
335,5.60000,2.80000
336,7.00000,2.80000
337,8.40000,2.80000
338,9.80000,2.80000
339,11.20000,2.80000
340,12.60000,2.80000
